Component,issue.title,issue.id,,,,,,,
marked:0.3.9,Regular Expression Denial of Service (ReDoS),SNYK-JS-MARKED-174116,,#####,,sonatype-2017-0636,,,
marked:0.3.9,Regular Expression Denial of Service (ReDoS),SNYK-JS-MARKED-451540,,#####,,sonatype-2018-0076,,,
marked:0.3.9,Regular Expression Denial of Service (ReDoS),SNYK-JS-MARKED-584281,,#####,,sonatype-2018-0378,,,
marked:0.3.9,Regular Expression Denial of Service (ReDoS),npm:marked:20180225,,#####,,,,,
media-typer:0.3.0,MIT license,snyk:lic:npm:media-typer:MIT,,,,,,,
merge-descriptors:1.0.1,MIT license,snyk:lic:npm:merge-descriptors:MIT,,,,,,,
methods:1.1.2,MIT license,snyk:lic:npm:methods:MIT,,,,,,,
micromatch:3.1.10,MIT license,snyk:lic:npm:micromatch:MIT,,,,,,,
mime-db:1.37.0,MIT license,snyk:lic:npm:mime-db:MIT,,,,,,,
mime-types:2.1.21,MIT license,snyk:lic:npm:mime-types:MIT,,,,,,,
mime:1.4.1,MIT license,snyk:lic:npm:mime:MIT,,,S(1.2.11),sonatype-2017-0487,,,
minimist:0.0.10,MIT license,snyk:lic:npm:minimist:MIT,,,,,,,
minimist:0.0.10,Prototype Pollution,SNYK-JS-MINIMIST-559764,,CVE-2020-7598,,,,,
minizlib:1.2.1,MIT license,snyk:lic:npm:minizlib:MIT,,,,,,,
mixin-deep:1.3.1,MIT license,snyk:lic:npm:mixin-deep:MIT,,,,,,,
mixin-deep:1.3.1,Prototype Pollution,SNYK-JS-MIXINDEEP-450212,,CVE-2019010746,not S(1.3.2),,,,
mkdirp:0.5.1,MIT license,snyk:lic:npm:mkdirp:MIT,,,,,,,
mongodb-core:2.1.20,Apache-2.0 license,snyk:lic:npm:mongodb-core:Apache-2.0,,,,,,,
mongodb:2.2.36,Apache-2.0 license,snyk:lic:npm:mongodb:Apache-2.0,,,,,,,
mongodb:2.2.36,Denial of Service (DoS),SNYK-JS-MONGODB-473855,,,,,,,
ms:0.7.1,MIT license,snyk:lic:npm:ms:MIT,,,,,,,
ms:0.7.1,Regular Expression Denial of Service (ReDoS),npm:ms:20170412,,CVE-2017-20162,<=,sonatype-2017-0621,,,
nan:2.14.0,MIT license,snyk:lic:npm:nan:MIT,,,,,,,
nanomatch:1.2.13,MIT license,snyk:lic:npm:nanomatch:MIT,,,,,,,
nconf:0.10.0,MIT license,snyk:lic:npm:nconf:MIT,,,,,,,
ncp:0.4.2,MIT license,snyk:lic:npm:ncp:MIT,,,,,,,
needle:2.2.4,MIT license,snyk:lic:npm:needle:MIT,,,,,,,
negotiator:0.6.1,MIT license,snyk:lic:npm:negotiator:MIT,,,,,,,
nocache:1.0.1,MIT license,snyk:lic:npm:nocache:MIT,,,,,,,
node-esapi:0.0.1,MIT license,snyk:lic:npm:node-esapi:MIT,,,,,,,
normalize-path:2.1.1,MIT license,snyk:lic:npm:normalize-path:MIT,,,,,,,
nssocket:0.6.0,MIT license,snyk:lic:npm:nssocket:MIT,,,,,,,
number-is-nan:1.0.1,MIT license,snyk:lic:npm:number-is-nan:MIT,,,,,,,
object-assign:4.1.1,MIT license,snyk:lic:npm:object-assign:MIT,,,,,,,
object-copy:0.1.0,MIT license,snyk:lic:npm:object-copy:MIT,,,,,,,
object-inspect:1.7.0,MIT license,snyk:lic:npm:object-inspect:MIT,,,,,,,
object-is:1.0.2,MIT license,snyk:lic:npm:object-is:MIT,,,,,,,
object-keys:1.1.1,MIT license,snyk:lic:npm:object-keys:MIT,,,,,,,
object-visit:1.0.1,MIT license,snyk:lic:npm:object-visit:MIT,,,,,,,
object.assign:4.1.0,MIT license,snyk:lic:npm:object.assign:MIT,,,,,,,
object.pick:1.3.0,MIT license,snyk:lic:npm:object.pick:MIT,,,,,,,
on-finished:2.3.0,MIT license,snyk:lic:npm:on-finished:MIT,,,,,,,
on-headers:1.0.1,MIT license,snyk:lic:npm:on-headers:MIT,,,,,,,
os-homedir:1.0.2,MIT license,snyk:lic:npm:os-homedir:MIT,,,,,,,
os-locale:1.4.0,MIT license,snyk:lic:npm:os-locale:MIT,,,,,,,
os-tmpdir:1.0.2,MIT license,snyk:lic:npm:os-tmpdir:MIT,,,,,,,
parseurl:1.3.2,MIT license,snyk:lic:npm:parseurl:MIT,,,,,,,
pascalcase:0.1.1,MIT license,snyk:lic:npm:pascalcase:MIT,,,,,,,
path-dirname:1.0.2,MIT license,snyk:lic:npm:path-dirname:MIT,,,,,,,
path-is-absolute:1.0.1,MIT license,snyk:lic:npm:path-is-absolute:MIT,,,,,,,
path-to-regexp:0.1.7,MIT license,snyk:lic:npm:path-to-regexp:MIT,,,,,,,
pkginfo:0.3.1,MIT license,snyk:lic:npm:pkginfo:MIT,,,,,,,
platform:1.3.1,MIT license,snyk:lic:npm:platform:MIT,,,,,,,
posix-character-classes:0.1.1,MIT license,snyk:lic:npm:posix-character-classes:MIT,,,,,,,
prettyjson:1.2.1,MIT license,snyk:lic:npm:prettyjson:MIT,,,,,,,
process-nextick-args:1.0.7,MIT license,snyk:lic:npm:process-nextick-args:MIT,,,,,,,
prompt:0.2.14,MIT license,snyk:lic:npm:prompt:MIT,,,,,,,
proxy-addr:2.0.4,MIT license,snyk:lic:npm:proxy-addr:MIT,,,,,,,
ps-tree:0.0.3,MIT license,snyk:lic:npm:ps-tree:MIT,,,,,,,
random-bytes:1.0.0,MIT license,snyk:lic:npm:random-bytes:MIT,,,,,,,
range-parser:1.2.0,MIT license,snyk:lic:npm:range-parser:MIT,,,,,,,
raw-body:2.3.3,MIT license,snyk:lic:npm:raw-body:MIT,,,,,,,
