Competitor Component Name (1890),Competitor CVEs,Confidence,Sonatype Component Name (3279),Sonatype CVEs,Sonatype Occurence Path
dnd-grid:0.2.0,,10,@dattn/dnd-grid:0.2.0,,sonatype-build.spdx.json/pkg:npm\%40dattn\dnd-grid@0.2.0
promisify:1.1.3,,10,@gar/promisify:1.1.3,,sonatype-build.spdx.json/pkg:npm\%40gar\promisify@1.1.3
core-base:9.14.0,,10,@intlify/core-base:9.14.0,,sonatype-build.spdx.json/pkg:npm\%40intlify\core-base@9.14.0
core-base:9.8.0,,10,@intlify/core-base:9.8.0,,sonatype-build.spdx.json/pkg:npm\%40intlify\core-base@9.8.0
message-compiler:9.14.0,,10,@intlify/message-compiler:9.14.0,,sonatype-build.spdx.json/pkg:npm\%40intlify\message-compiler@9.14.0
message-compiler:9.8.0,,10,@intlify/message-compiler:9.8.0,,sonatype-build.spdx.json/pkg:npm\%40intlify\message-compiler@9.8.0
shared:9.14.0,,10,@intlify/shared:9.14.0,,sonatype-build.spdx.json/pkg:npm\%40intlify\shared@9.14.0
shared:9.8.0,,10,@intlify/shared:9.8.0,,sonatype-build.spdx.json/pkg:npm\%40intlify\shared@9.8.0
load-nyc-config:1.1.0,,10,@istanbuljs/load-nyc-config:1.1.0,,sonatype-build.spdx.json/pkg:npm\%40istanbuljs\load-nyc-config@1.1.0
schema:0.1.3,,10,@istanbuljs/schema:0.1.3,,sonatype-build.spdx.json/pkg:npm\%40istanbuljs\schema@0.1.3
console:27.5.1,,10,@jest/console:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\console@27.5.1
core:27.5.1,,10,@jest/core:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\core@27.5.1
environment:27.5.1,,10,@jest/environment:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\environment@27.5.1
fake-timers:27.5.1,,10,@jest/fake-timers:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\fake-timers@27.5.1
globals:27.5.1,,10,@jest/globals:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\globals@27.5.1
reporters:27.5.1,,10,@jest/reporters:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\reporters@27.5.1
source-map:27.5.1,,10,@jest/source-map:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\source-map@27.5.1
test-result:27.5.1,,10,@jest/test-result:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\test-result@27.5.1
test-sequencer:27.5.1,,10,@jest/test-sequencer:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\test-sequencer@27.5.1
transform:27.5.1,,10,@jest/transform:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\transform@27.5.1
types:27.5.1,,10,@jest/types:27.5.1,,sonatype-build.spdx.json/pkg:npm\%40jest\types@27.5.1
gen-mapping:0.3.5,,10,@jridgewell/gen-mapping:0.3.5,,sonatype-build.spdx.json/pkg:npm\%40jridgewell\gen-mapping@0.3.5
resolve-uri:3.1.2,,10,@jridgewell/resolve-uri:3.1.2,,sonatype-build.spdx.json/pkg:npm\%40jridgewell\resolve-uri@3.1.2
set-array:1.2.1,,10,@jridgewell/set-array:1.2.1,,sonatype-build.spdx.json/pkg:npm\%40jridgewell\set-array@1.2.1
sourcemap-codec:1.5.0,,10,@jridgewell/sourcemap-codec:1.5.0,,sonatype-build.spdx.json/pkg:npm\%40jridgewell\sourcemap-codec@1.5.0
trace-mapping:0.3.25,,10,@jridgewell/trace-mapping:0.3.25,,sonatype-build.spdx.json/pkg:npm\%40jridgewell\trace-mapping@0.3.25
jsonlint-lines-primitives:2.0.2,,10,@mapbox/jsonlint-lines-primitives:2.0.2,,sonatype-build.spdx.json/pkg:npm\%40mapbox\jsonlint-lines-primitives@2.0.2
mapbox-gl-style-spec:13.28.0,,10,@mapbox/mapbox-gl-style-spec:13.28.0,,sonatype-build.spdx.json/pkg:npm\%40mapbox\mapbox-gl-style-spec@13.28.0
point-geometry:0.1.0,,10,@mapbox/point-geometry:0.1.0,,sonatype-build.spdx.json/pkg:npm\%40mapbox\point-geometry@0.1.0
unitbezier:0.0.0,,10,@mapbox/unitbezier:0.0.0,,sonatype-build.spdx.json/pkg:npm\%40mapbox\unitbezier@0.0.0
font:7.3.67,,10,@mdi/font:7.3.67,,sonatype-build.spdx.json/pkg:npm\%40mdi\font@7.3.67
api-logs:0.41.2,,10,@opentelemetry/api-logs:0.41.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\api-logs@0.41.2
api:1.4.1,,10,@opentelemetry/api:1.4.1,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\api@1.4.1
core:1.15.2,,10,@opentelemetry/core:1.15.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\core@1.15.2
core:1.25.1,,10,@opentelemetry/core:1.25.1,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\core@1.25.1
exporter-trace-otlp-http:0.41.2,,10,@opentelemetry/exporter-trace-otlp-http:0.41.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\exporter-trace-otlp-http@0.41.2
otlp-exporter-base:0.41.2,,10,@opentelemetry/otlp-exporter-base:0.41.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\otlp-exporter-base@0.41.2
otlp-transformer:0.41.2,,10,@opentelemetry/otlp-transformer:0.41.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\otlp-transformer@0.41.2
resources:1.15.2,,10,@opentelemetry/resources:1.15.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\resources@1.15.2
resources:1.25.1,,10,@opentelemetry/resources:1.25.1,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\resources@1.25.1
sdk-logs:0.41.2,,10,@opentelemetry/sdk-logs:0.41.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\sdk-logs@0.41.2
sdk-metrics:1.15.2,,10,@opentelemetry/sdk-metrics:1.15.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\sdk-metrics@1.15.2
sdk-trace-base:1.15.2,,10,@opentelemetry/sdk-trace-base:1.15.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\sdk-trace-base@1.15.2
sdk-trace-base:1.25.1,,10,@opentelemetry/sdk-trace-base:1.25.1,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\sdk-trace-base@1.25.1
sdk-trace-web:1.25.1,,10,@opentelemetry/sdk-trace-web:1.25.1,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\sdk-trace-web@1.25.1
semantic-conventions:1.15.2,,10,@opentelemetry/semantic-conventions:1.15.2,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\semantic-conventions@1.15.2
semantic-conventions:1.25.1,,10,@opentelemetry/semantic-conventions:1.25.1,,sonatype-build.spdx.json/pkg:npm\%40opentelemetry\semantic-conventions@1.25.1
float16:3.8.7,,10,@petamoriken/float16:3.8.7,,sonatype-build.spdx.json/pkg:npm\%40petamoriken\float16@3.8.7
