Competitor Component Name (1605),Competitor CVEs,Confidence,Sonatype Component Name (1466),Sonatype CVEs,Sonatype Occurence Path
@babel/plugin-proposal-object-rest-spread:7.0.0,,10,@babel/plugin-proposal-object-rest-spread:7.0.0,,./yarn.lock/@babel\plugin-proposal-object-rest-spread:7.0.0
@babel/plugin-proposal-optional-catch-binding:7.0.0,,10,@babel/plugin-proposal-optional-catch-binding:7.0.0,,./yarn.lock/@babel\plugin-proposal-optional-catch-binding:7.0.0
@babel/plugin-proposal-optional-chaining:7.0.0,,10,@babel/plugin-proposal-optional-chaining:7.0.0,,./yarn.lock/@babel\plugin-proposal-optional-chaining:7.0.0
@babel/plugin-syntax-class-properties:7.0.0,,10,@babel/plugin-syntax-class-properties:7.0.0,,./yarn.lock/@babel\plugin-syntax-class-properties:7.0.0
@babel/plugin-syntax-dynamic-import:7.0.0,,10,@babel/plugin-syntax-dynamic-import:7.0.0,,./yarn.lock/@babel\plugin-syntax-dynamic-import:7.0.0
@babel/plugin-syntax-export-default-from:7.0.0,,10,@babel/plugin-syntax-export-default-from:7.0.0,,./yarn.lock/@babel\plugin-syntax-export-default-from:7.0.0
@babel/plugin-syntax-flow:7.0.0,,10,@babel/plugin-syntax-flow:7.0.0,,./yarn.lock/@babel\plugin-syntax-flow:7.0.0
@babel/plugin-syntax-flow:7.8.3,,10,@babel/plugin-syntax-flow:7.8.3,,./yarn.lock/@babel\plugin-syntax-flow:7.8.3
@babel/plugin-syntax-jsx:7.0.0,,10,@babel/plugin-syntax-jsx:7.0.0,,./yarn.lock/@babel\plugin-syntax-jsx:7.0.0
@babel/plugin-syntax-jsx:7.10.4,,10,@babel/plugin-syntax-jsx:7.10.4,,./yarn.lock/@babel\plugin-syntax-jsx:7.10.4
@babel/plugin-syntax-nullish-coalescing-operator:7.0.0,,10,@babel/plugin-syntax-nullish-coalescing-operator:7.0.0,,./yarn.lock/@babel\plugin-syntax-nullish-coalescing-operator:7.0.0
@babel/plugin-syntax-object-rest-spread:7.0.0,,10,@babel/plugin-syntax-object-rest-spread:7.0.0,,./yarn.lock/@babel\plugin-syntax-object-rest-spread:7.0.0
@babel/plugin-syntax-optional-catch-binding:7.0.0,,10,@babel/plugin-syntax-optional-catch-binding:7.0.0,,./yarn.lock/@babel\plugin-syntax-optional-catch-binding:7.0.0
@babel/plugin-syntax-optional-chaining:7.0.0,,10,@babel/plugin-syntax-optional-chaining:7.0.0,,./yarn.lock/@babel\plugin-syntax-optional-chaining:7.0.0
@babel/plugin-syntax-typescript:7.8.3,,10,@babel/plugin-syntax-typescript:7.8.3,,./yarn.lock/@babel\plugin-syntax-typescript:7.8.3
@babel/plugin-transform-arrow-functions:7.0.0,,10,@babel/plugin-transform-arrow-functions:7.0.0,,./yarn.lock/@babel\plugin-transform-arrow-functions:7.0.0
@babel/plugin-transform-async-to-generator:7.1.0,,10,@babel/plugin-transform-async-to-generator:7.1.0,,./yarn.lock/@babel\plugin-transform-async-to-generator:7.1.0
@babel/plugin-transform-block-scoped-functions:7.0.0,,10,@babel/plugin-transform-block-scoped-functions:7.0.0,,./yarn.lock/@babel\plugin-transform-block-scoped-functions:7.0.0
@babel/plugin-transform-block-scoping:7.0.0,,10,@babel/plugin-transform-block-scoping:7.0.0,,./yarn.lock/@babel\plugin-transform-block-scoping:7.0.0
@babel/plugin-transform-classes:7.1.0,,10,@babel/plugin-transform-classes:7.1.0,,./yarn.lock/@babel\plugin-transform-classes:7.1.0
@babel/plugin-transform-computed-properties:7.0.0,,10,@babel/plugin-transform-computed-properties:7.0.0,,./yarn.lock/@babel\plugin-transform-computed-properties:7.0.0
@babel/plugin-transform-destructuring:7.1.3,,10,@babel/plugin-transform-destructuring:7.1.3,,./yarn.lock/@babel\plugin-transform-destructuring:7.1.3
@babel/plugin-transform-exponentiation-operator:7.1.0,,10,@babel/plugin-transform-exponentiation-operator:7.1.0,,./yarn.lock/@babel\plugin-transform-exponentiation-operator:7.1.0
@babel/plugin-transform-flow-strip-types:7.0.0,,10,@babel/plugin-transform-flow-strip-types:7.0.0,,./yarn.lock/@babel\plugin-transform-flow-strip-types:7.0.0
@babel/plugin-transform-for-of:7.0.0,,10,@babel/plugin-transform-for-of:7.0.0,,./yarn.lock/@babel\plugin-transform-for-of:7.0.0
@babel/plugin-transform-function-name:7.1.0,,10,@babel/plugin-transform-function-name:7.1.0,,./yarn.lock/@babel\plugin-transform-function-name:7.1.0
@babel/plugin-transform-literals:7.0.0,,10,@babel/plugin-transform-literals:7.0.0,,./yarn.lock/@babel\plugin-transform-literals:7.0.0
@babel/plugin-transform-member-expression-literals:7.0.0,,10,@babel/plugin-transform-member-expression-literals:7.0.0,,./yarn.lock/@babel\plugin-transform-member-expression-literals:7.0.0
@babel/plugin-transform-modules-commonjs:7.1.0,,10,@babel/plugin-transform-modules-commonjs:7.1.0,,./yarn.lock/@babel\plugin-transform-modules-commonjs:7.1.0
@babel/plugin-transform-object-assign:7.0.0,,10,@babel/plugin-transform-object-assign:7.0.0,,./yarn.lock/@babel\plugin-transform-object-assign:7.0.0
@babel/plugin-transform-object-super:7.1.0,,10,@babel/plugin-transform-object-super:7.1.0,,./yarn.lock/@babel\plugin-transform-object-super:7.1.0
@babel/plugin-transform-parameters:7.1.0,,10,@babel/plugin-transform-parameters:7.1.0,,./yarn.lock/@babel\plugin-transform-parameters:7.1.0
@babel/plugin-transform-property-literals:7.0.0,,10,@babel/plugin-transform-property-literals:7.0.0,,./yarn.lock/@babel\plugin-transform-property-literals:7.0.0
@babel/plugin-transform-react-display-name:7.0.0,,10,@babel/plugin-transform-react-display-name:7.0.0,,./yarn.lock/@babel\plugin-transform-react-display-name:7.0.0
@babel/plugin-transform-react-jsx-self:7.10.4,,10,@babel/plugin-transform-react-jsx-self:7.10.4,,./yarn.lock/@babel\plugin-transform-react-jsx-self:7.10.4
@babel/plugin-transform-react-jsx-source:7.0.0,,10,@babel/plugin-transform-react-jsx-source:7.0.0,,./yarn.lock/@babel\plugin-transform-react-jsx-source:7.0.0
@babel/plugin-transform-react-jsx:7.0.0,,10,@babel/plugin-transform-react-jsx:7.0.0,,./yarn.lock/@babel\plugin-transform-react-jsx:7.0.0
@babel/plugin-transform-regenerator:7.0.0,,10,@babel/plugin-transform-regenerator:7.0.0,,./yarn.lock/@babel\plugin-transform-regenerator:7.0.0
@babel/plugin-transform-runtime:7.1.0,,10,@babel/plugin-transform-runtime:7.1.0,,./yarn.lock/@babel\plugin-transform-runtime:7.1.0
@babel/plugin-transform-shorthand-properties:7.0.0,,10,@babel/plugin-transform-shorthand-properties:7.0.0,,./yarn.lock/@babel\plugin-transform-shorthand-properties:7.0.0
@babel/plugin-transform-spread:7.0.0,,10,@babel/plugin-transform-spread:7.0.0,,./yarn.lock/@babel\plugin-transform-spread:7.0.0
@babel/plugin-transform-sticky-regex:7.0.0,,10,@babel/plugin-transform-sticky-regex:7.0.0,,./yarn.lock/@babel\plugin-transform-sticky-regex:7.0.0
@babel/plugin-transform-template-literals:7.0.0,,10,@babel/plugin-transform-template-literals:7.0.0,,./yarn.lock/@babel\plugin-transform-template-literals:7.0.0
@babel/plugin-transform-typescript:7.9.4,,10,@babel/plugin-transform-typescript:7.9.4,,./yarn.lock/@babel\plugin-transform-typescript:7.9.4
@babel/plugin-transform-unicode-regex:7.0.0,,10,@babel/plugin-transform-unicode-regex:7.0.0,,./yarn.lock/@babel\plugin-transform-unicode-regex:7.0.0
@babel/register:7.0.0,,10,@babel/register:7.0.0,,./yarn.lock/@babel\register:7.0.0
@babel/runtime:7.1.2,,10,@babel/runtime:7.1.2,,./yarn.lock/@babel\runtime:7.1.2
@babel/runtime:7.5.5,,10,@babel/runtime:7.5.5,,./yarn.lock/@babel\runtime:7.5.5
@babel/runtime:7.9.2,,10,@babel/runtime:7.9.2,,./yarn.lock/@babel\runtime:7.9.2
@babel/runtime:7.9.6,,10,@babel/runtime:7.9.6,,./yarn.lock/@babel\runtime:7.9.6
@babel/template:7.1.2,,10,@babel/template:7.1.2,,./yarn.lock/@babel\template:7.1.2
@babel/template:7.8.6,,10,@babel/template:7.8.6,,./yarn.lock/@babel\template:7.8.6
@babel/traverse:7.1.4,,10,@babel/traverse:7.1.4,,./yarn.lock/@babel\traverse:7.1.4
@babel/traverse:7.9.0,,10,@babel/traverse:7.9.0,,./yarn.lock/@babel\traverse:7.9.0
@babel/types:7.1.3,,10,@babel/types:7.1.3,,./yarn.lock/@babel\types:7.1.3
@babel/types:7.9.0,,10,@babel/types:7.9.0,,./yarn.lock/@babel\types:7.9.0
