Competitor Component Name (4),Competitor CVEs,Confidence,Sonatype Component Name (552),Sonatype CVEs,Sonatype Occurence Path
,,,Cython:(cp27-cp27m-manylinux1_i686):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp27-cp27m-manylinux1_i686:d08fbb5e4096b9ae9841
,,,Cython:(cp27-cp27m-manylinux1_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp27-cp27m-manylinux1_x86_64:5a2abe9bd28ae28f9c90
,,,Cython:(cp27-cp27m-win32):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp27-cp27m-win32:2bf35fa44593491e6b5e
,,,Cython:(cp27-cp27m-win_amd64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp27-cp27m-win_amd64:3c40b7961f9818f31125
,,,Cython:(cp27-cp27mu-manylinux1_i686):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp27-cp27mu-manylinux1_i686:492ac166cb3e0083c04b
,,,Cython:(cp27-cp27mu-manylinux1_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp27-cp27mu-manylinux1_x86_64:bf084cd6e6f375e3dda8
,,,Cython:(cp34-cp34m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp34-cp34m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64:dd6aee85f8b7b97b76ac
,,,Cython:(cp34-cp34m-manylinux1_i686):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp34-cp34m-manylinux1_i686:740aefb9cc48c6ad7640
,,,Cython:(cp34-cp34m-manylinux1_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp34-cp34m-manylinux1_x86_64:3a593bf1019c5c0ca13b
,,,Cython:(cp34-cp34m-win32):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp34-cp34m-win32:cd2c3ca05c40a9d08b69
,,,Cython:(cp34-cp34m-win_amd64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp34-cp34m-win_amd64:591ad7ee5f75a82ec65d
,,,Cython:(cp35-cp35m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp35-cp35m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64:2a55e5e13c3849cc5f67
,,,Cython:(cp35-cp35m-manylinux1_i686):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp35-cp35m-manylinux1_i686:892af1715d50d915868e
,,,Cython:(cp35-cp35m-manylinux1_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp35-cp35m-manylinux1_x86_64:dde288b2f30384b617a4
,,,Cython:(cp35-cp35m-win32):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp35-cp35m-win32:a67359d17e02bbc17175
,,,Cython:(cp35-cp35m-win_amd64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp35-cp35m-win_amd64:b89d2739080941eccec7
,,,Cython:(cp36-cp36m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp36-cp36m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64:793c24c95808f297ac4f
,,,Cython:(cp36-cp36m-manylinux1_i686):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp36-cp36m-manylinux1_i686:0f56d82d24c233fb65d1
,,,Cython:(cp36-cp36m-manylinux1_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp36-cp36m-manylinux1_x86_64:8e5149ca516ad9ecb3dd
,,,Cython:(cp36-cp36m-win32):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp36-cp36m-win32:b288cf330e39f9a25d93
,,,Cython:(cp36-cp36m-win_amd64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp36-cp36m-win_amd64:df93b427559801c2dbff
